logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,750Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-monitoring]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,751Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-ql]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,755Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-rollup]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,761Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-security]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,765Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-sql]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,767Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-voting-only-node]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,771Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-watcher]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,778Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "no plugins loaded" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:58,321Z", "level": "INFO", "component": "o.e.e.NodeEnvironment", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "using [1] data paths, mounts [[/usr/share/elasticsearch/data (/dev/vda1)]], net usable_space [28.4gb], net total_space [58.3gb], types [ext4]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:58,326Z", "level": "INFO", "component": "o.e.e.NodeEnvironment", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "heap size [512mb], compressed ordinary object pointers [true]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:58,944Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "node name [83b1d7cb550a], node ID [INzE_ZB3RAelqlA60KOTrg], cluster name [docker-cluster]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:49:58,307Z", "level": "INFO", "component": "o.e.x.s.a.s.FileRolesStore", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "parsed [0] roles from file [/usr/share/elasticsearch/config/roles.yml]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:12,588Z", "level": "INFO", "component": "o.e.x.m.p.l.CppLogMessageHandler", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "[controller/199] [Main.cc@110] controller (64 bit): Version 7.8.0 (Build 58ff6912e20047) Copyright (c) 2020 Elasticsearch BV" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:24,614Z", "level": "DEBUG", "component": "o.e.a.ActionModule", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "Using REST wrapper from plugin org.elasticsearch.xpack.security.Security" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:27,900Z", "level": "INFO", "component": "o.e.d.DiscoveryModule", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "using discovery type [single-node] and seed hosts providers [settings]" }
